Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.memopad.PaintView,265,137,26,48
027b8b2fef939b5c60cf8d3d3e21960c8f4e4b0c,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.memopad.CanvasFragment,117,56,8,25
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.memopad.MyDialogFragment,35,0,9,6
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.memopad.PadActivity,179,100,15,29
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.memopad.PaintView,265,137,26,48
1a5e8395f623b7995212d05ae1c0b697a3e0caea,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.memopad.CanvasFragment,117,56,8,25
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.memopad.MyDialogFragment,35,0,9,6
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.memopad.PadActivity,179,100,15,29
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.memopad.PaintView,265,137,26,48
a7f52105b20325abb80deac34513ff217dfdb935,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
6ceb19d6fd6e9009ff0199c3de935803cf5d754a,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
