Commit,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.54,3.67,4.93,0.95
0.55,3.67,4.93,0.95
0.54,3.76,5.05,0.98
0.54,3.76,5.05,0.98
0.54,3.76,5.05,0.98
0.53,3.8,5.07,1.0
0.53,3.8,5.07,1.0
0.53,3.8,5.07,1.0
0.53,3.8,5.07,1.0
0.53,3.8,5.07,1.0
0.53,3.8,5.07,1.0
0.53,3.8,5.07,1.0
0.53,3.8,5.07,1.0
0.52,3.9,5.2,1.02
0.52,3.9,5.2,1.02
0.52,3.9,5.2,1.02
0.52,3.9,5.2,1.02
0.52,3.9,5.2,1.02
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.51,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.52,3.95,5.23,1.05
0.51,4.05,5.34,1.08
0.51,4.05,5.34,1.08
0.51,4.05,5.34,1.08
0.51,4.05,5.34,1.08
0.51,4.05,5.34,1.08
0.51,4.05,5.34,1.08
0.51,4.05,5.34,1.08
0.51,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.52,4.05,5.34,1.08
0.53,4.05,5.34,1.08
0.53,4.05,5.34,1.08
