Commit,LOC,LCOM,CBO,WMC
0.45,17892.71,13936.07,1717.78,3679.17
0.45,17892.71,13936.07,1717.78,3679.17
0.45,17892.71,13936.07,1717.78,3679.17
0.45,17892.71,13936.07,1717.78,3679.17
0.45,17892.71,13936.07,1717.78,3679.17
0.45,17892.71,13936.07,1717.78,3679.17
0.44,17549.16,13692.98,1708.86,3627.4
0.43,17766.41,13914.11,1725.82,3677.34
0.43,17766.41,13914.11,1725.82,3677.34
0.43,17766.41,13914.11,1725.82,3677.34
0.44,17766.41,13914.11,1725.82,3677.34
0.44,17766.41,13914.11,1725.82,3677.34
0.44,17766.41,13914.11,1725.82,3677.34
0.44,17766.41,13914.11,1725.82,3677.34
0.44,17766.41,13914.11,1725.82,3677.34
0.44,17766.41,13914.11,1725.82,3677.34
0.43,17966.91,14132.51,1741.69,3713.4
0.43,17966.91,14132.51,1741.69,3713.4
0.43,17966.91,14132.51,1741.69,3713.4
0.43,17966.91,14132.51,1741.69,3713.4
0.43,17966.91,14132.51,1741.69,3713.4
0.43,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.44,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.45,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.46,17966.91,14132.51,1741.69,3713.4
0.47,17966.91,14132.51,1741.69,3713.4
0.47,17966.91,14132.51,1741.69,3713.4
0.47,17966.91,14132.51,1741.69,3713.4
0.47,17966.91,14132.51,1741.69,3713.4
0.47,17966.91,14132.51,1741.69,3713.4
0.47,17966.91,14132.51,1741.69,3713.4
0.47,17966.91,14132.51,1741.69,3713.4
0.46,18200.0,14333.63,1757.07,3759.15
0.46,18200.0,14333.63,1757.07,3759.15
0.46,18200.0,14333.63,1757.07,3759.15
0.46,18200.0,14333.63,1757.07,3759.15
0.47,18200.0,14333.63,1757.07,3759.15
0.47,18200.0,14333.63,1757.07,3759.15
0.47,18200.0,14333.63,1757.07,3759.15
0.47,18200.0,14333.63,1757.07,3759.15
0.47,18200.0,14333.63,1757.07,3759.15
0.46,18134.55,14030.32,1758.47,3729.06
0.46,18134.55,14030.32,1758.47,3729.06
0.46,18134.55,14030.32,1758.47,3729.06
0.46,18134.55,14030.32,1758.47,3729.06
0.46,18134.55,14030.32,1758.47,3729.06
0.46,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.47,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.48,18134.55,14030.32,1758.47,3729.06
0.47,18428.04,14284.4,1784.52,3791.33
0.47,18428.04,14284.4,1784.52,3791.33
0.47,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
0.48,18428.04,14284.4,1784.52,3791.33
