Commit,DW_Smell,IDS_Smell,IS_Smell,LT_Smell,MIM_Smell
0.44,0.13,0.16,0.65,0.08,28.39
0.44,0.13,0.16,0.65,0.08,28.39
0.44,0.13,0.16,0.65,0.08,28.39
0.44,0.13,0.16,0.65,0.08,28.39
0.44,0.13,0.16,0.65,0.08,28.39
0.42,0.13,0.17,0.67,0.08,29.18
0.42,0.13,0.17,0.67,0.08,29.18
0.43,0.13,0.17,0.67,0.08,29.18
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.42,0.14,0.17,0.64,0.08,29.56
0.41,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.42,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.43,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.17,0.64,0.09,29.88
0.45,0.14,0.17,0.64,0.09,29.88
0.45,0.14,0.17,0.64,0.09,29.88
0.45,0.14,0.17,0.64,0.09,29.88
0.45,0.14,0.17,0.64,0.09,29.88
0.45,0.14,0.17,0.64,0.09,29.88
0.45,0.14,0.17,0.64,0.09,29.88
0.45,0.14,0.17,0.64,0.09,29.88
0.44,0.14,0.16,0.65,0.09,29.44
0.43,0.14,0.16,0.66,0.09,29.91
0.43,0.14,0.16,0.66,0.09,29.91
0.43,0.14,0.16,0.66,0.09,29.91
0.44,0.14,0.16,0.66,0.09,29.91
0.44,0.14,0.16,0.66,0.09,29.91
0.44,0.14,0.16,0.66,0.09,29.91
0.44,0.14,0.16,0.66,0.09,29.91
0.44,0.14,0.16,0.66,0.09,29.91
0.44,0.14,0.16,0.66,0.09,29.91
0.43,0.15,0.13,0.67,0.09,30.24
0.43,0.15,0.13,0.67,0.09,30.24
0.43,0.15,0.13,0.67,0.09,30.24
0.43,0.15,0.13,0.67,0.09,30.24
0.43,0.15,0.13,0.67,0.09,30.24
0.43,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.44,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.45,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
0.46,0.15,0.13,0.67,0.09,30.24
