Commit,Decor_Feature_Envy,Decor_long_Method
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.52,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.53,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.54,8.11,3.21
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.53,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.54,7.86,3.27
0.53,8.08,3.36
0.53,8.08,3.36
0.53,8.08,3.36
0.53,8.08,3.36
0.53,8.08,3.36
0.53,8.08,3.36
0.53,8.08,3.36
0.53,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.54,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.55,8.08,3.36
0.54,8.09,3.43
0.54,8.09,3.43
0.54,8.09,3.43
0.54,8.09,3.43
0.54,8.09,3.43
0.54,8.09,3.43
0.54,8.09,3.43
0.54,8.09,3.43
0.54,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.55,8.09,3.43
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.54,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.55,8.32,3.53
0.56,8.32,3.53
0.56,8.32,3.53
0.56,8.32,3.53
0.54,8.58,3.64
0.54,8.58,3.64
0.54,8.58,3.64
0.54,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.55,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.56,8.58,3.64
0.55,8.78,3.66
0.55,8.78,3.66
0.55,8.78,3.66
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.54,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.55,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.56,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.57,8.97,3.58
0.56,9.13,3.67
0.56,9.13,3.67
0.56,9.13,3.67
0.56,9.13,3.67
0.56,9.13,3.67
0.56,9.13,3.67
0.56,9.13,3.67
0.56,9.13,3.67
0.56,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.57,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
0.58,9.13,3.67
